doi,refcodes,count,year,url,name_dicts,compound_dicts
10.1007/s00044-017-2002-y,['XELZIA'],1,2017,https://link.springer.com/article/10.1007/s00044-017-2002-y,"{'3': '3,5-dimethylpyrazole-1-(5methyl-1H-pyrazol-3-ylmethyl)-1H-pyrazole', '12': '[Cu(μ-Cl)2(Pyridine)2]n', '4': 'Cu(I)-complex', '6': 'Cd(II)-complex'}","{'3': ['3,5-dimethylpyrazole-1-(5methyl-1H-pyrazol-3-ylmethyl)-1H-pyrazole']}"
10.1007/s00216-019-01875-2,['YUBLIT'],1,2019,https://link.springer.com/article/10.1007/s00216-019-01875-2,{},{}
10.1007/s00269-015-0793-2,"['OKUTUL', 'OKUVAT']",2,2016,https://link.springer.com/article/10.1007/s00269-015-0793-2,{},{}
10.1007/s00269-017-0907-0,"['SEVKAI', 'SEVKEM']",2,2017,https://link.springer.com/article/10.1007/s00269-017-0907-0,{},{}
10.1007/s00339-018-1810-3,['UPECAU01'],1,2018,https://link.springer.com/article/10.1007/s00339-018-1810-3,{},{}
10.1007/s00604-019-3979-3,['DOXPAK'],1,2020,https://link.springer.com/article/10.1007/s00604-019-3979-3,{},{}
10.1007/s00604-021-04767-4,['PAKMIB'],1,2021,https://link.springer.com/article/10.1007/s00604-021-04767-4,{'1': '{[Mo(PDA)(NO)(μ-O)MoO3]·1.42H2O·0.58C2H5OH}n'},{}
10.1007/s00706-008-0102-6,['RUHDII'],1,2009,https://link.springer.com/article/10.1007/s00706-008-0102-6,{'1': '[C6H3CdN2O4]·NH4'},{}
10.1007/s00706-011-0578-3,['NASHOG'],1,2011,https://link.springer.com/article/10.1007/s00706-011-0578-3,"{'1': '{[Ni(O2CCH3)2(3-apy)2]·H2O}n', '2': '[Ni(O2CCH3)2(4-apy)2(H2O)2]'}","{'1': ['{[Ni(O2CCH3)2(3-apy)2]·H2O}n'], '2': ['[Ni(O2CCH3)2(4-apy)2(H2O)2]']}"
10.1007/s00706-011-0592-5,['NAVBIX'],1,2011,https://link.springer.com/article/10.1007/s00706-011-0592-5,{'1': '2H3O·[NaCd3(C14H8O4)3(C6H4N3)3]·5.5H2O'},{}
10.1007/s00706-012-0862-x,"['CIGCAY', 'CIGCEC']",2,2012,https://link.springer.com/article/10.1007/s00706-012-0862-x,"{'2': '[Ti2(OiPr)8(C10H26N4)]∞', '3': '[Zr2(OiPr)8(C10H26N4)]∞', '1': 'C10H26N4·2HCl'}",{}
10.1007/s00706-013-0922-x,"['HAMBOO01', 'ZIPYEE']",2,2013,https://link.springer.com/article/10.1007/s00706-013-0922-x,"{'1': 'Poly[[triaqua-4-hydroxypyridine-2,6-dicarboxylato-κ3(O3a,N1a,O4a)barium(II)]μ-aqua-μ3-4-hydroxypyridine-2,6-dicarboxylato-μ3-4-oxypyridine-2,6-dicarboxylato[triaqua-4-oxypyridine-2,6-dicarboxylato-κ2(O3b,O2b)barium(II)]dihydrate]', '2': '[[Cu(C7H2NO5)(C5H6N2)2]2Cu(C5H6N2)2(H2O)2]n·(6H2O)n'}","{'1': ['Poly[[triaqua-4-hydroxypyridine-2,6-dicarboxylato-κ3(O3a,N1a,O4a)barium(II)]μ-aqua-μ3-4-hydroxypyridine-2,6-dicarboxylato-μ3-4-oxypyridine-2,6-dicarboxylato[triaqua-4-oxypyridine-2,6-dicarboxylato-κ2(O3b,O2b)barium(II)]dihydrate]'], '2': ['Poly[[diaquabis(4-aminopyridinopyridine)copper(II)]-μ-4-hydroxypyridine-2,6-dicarboxylato[bis(4-aminopyridinopyridine)copper(II)]hexahydrate]']}"
10.1007/s00706-013-1037-0,['LOPTIV'],1,2013,https://link.springer.com/article/10.1007/s00706-013-1037-0,"{'1': '[Zn(phen)2(1,5-NDS)(H2O)]', '2': 'Catena-poly[[bis(1,10-phenanthroline)cadmium(II)]-μ2-1,5-naphthalenedisulfonate]'}","{'1': ['[Zn(phen)2(1,5-NDS)(H2O)]', 'Aquabis(1,10-phenanthroline)(1,5-naphthalenedisulfonate)zinc(II)'], '2': ['[Cd(phen)2(1,5-NDS)]n', 'Catena-poly[[bis(1,10-phenanthroline)cadmium(II)]-μ2-1,5-naphthalenedisulfonate]'], '1,5-NDS': ['1,5-naphthalenedisulfonate'], 'phen': ['1,10-phenanthroline']}"
10.1007/s00706-013-1092-6,['KIQHUN03'],1,2013,https://link.springer.com/article/10.1007/s00706-013-1092-6,{},"{'H2pydc': ['pyridine-2,3-dicarboxylic']}"
10.1007/s00706-014-1202-0,['LOPQIS'],1,2014,https://link.springer.com/article/10.1007/s00706-014-1202-0,"{'1': 'Poly[tetra(μ2-chloro)di(μ3-chloro)di(2,9-dimethyl-1,10-phenanthroline)-trilead][Pb3(dmp)2Cl6]n'}","{'1': ['Poly[tetra(μ2-chloro)di(μ3-chloro)di(2,9-dimethyl-1,10-phenanthroline)-trilead][Pb3(dmp)2Cl6]n']}"
10.1007/s00706-014-1245-2,['LOPRAL'],1,2014,https://link.springer.com/article/10.1007/s00706-014-1245-2,{'1': '[Ti(OiPr)3(OOCCH2CH2CH2C3N2H3)]n'},"{'1': ['4-(imidazol-1-yl)butanate'], 'DHP-H2': ['4,6-dihydroxypyrimidine']}"
10.1007/s00706-014-1289-3,['BOPWIO'],1,2014,https://link.springer.com/article/10.1007/s00706-014-1289-3,{'1': '[Ho2(PDA)3(H2O)]n·2nH2O'},{}
10.1007/s00706-014-1333-3,['NEVXAP01'],1,2014,https://link.springer.com/article/10.1007/s00706-014-1333-3,"{'1': '[Hg(μ-mptrz)2]n', '2': '{[H2en][Hg2(mptrz)4(μ-Br)2]}', '3': '{[H2en][Hg2(mptrz)4(μ-I)2]}'}","{'3': ['[di-μ-iodidotetrakis(4-methyl-1,2,4-triazole-3-thiolato-κS)dimercury(II)]'], 'DmptrzSS': ['4,4′-dimethyl-3,3′-dithiodi-1,2,4-triazole']}"
10.1007/s00706-014-1377-4,['KACPUC'],1,2014,https://link.springer.com/article/10.1007/s00706-014-1377-4,{'1': '[(1-mimH)[Nd(pydc)3Ca(pydcH2)(H2O)2]·4H2O]n'},"{'1': ['[(1-mimH)[Nd(pydc)3Ca(pydcH2)(H2O)2]·4H2O]n'], 'pydcH2': ['pyridine-2,6-dicarboxylic'], '1-mim': ['1-methylimidazole']}"
10.1007/s00706-015-1446-3,['PUZDEV'],1,2015,https://link.springer.com/article/10.1007/s00706-015-1446-3,{'1': '[Sm(µ-Hpzdc)(µ-pzdc)(H2O)3]n'},"{'1': ['Poly[(μ-3-carboxypyridine-2-carboxylato)(μ-2,3-pyridinedicarboxylate)samarium(III)]'], 'pzdc2−': ['pyarazine-2,3-dicarboxylate'], 'Hpzdc−': ['pyarazine-2,3-dicarboxylate']}"
10.1007/s00706-015-1509-5,"['ITEFEU', 'ITEFIY']",2,2015,https://link.springer.com/article/10.1007/s00706-015-1509-5,"{'1': '[Er(1,3-BDS)(HMA)(H2O)4]n', '2': '[Pr(1,3-BDS)(HMA)(H2O)4]n'}","{'1': ['[Er(1,3-BDS)(HMA)(H2O)4]n'], '2': ['[Pr(1,3-BDS)(HMA)(H2O)4]n'], '1,3-BDS': ['benzene-1,3-disulfonate', '1,3-benzenedisulfonate']}"
10.1007/s00706-018-2330-8,['GOPLUV'],1,2019,https://link.springer.com/article/10.1007/s00706-018-2330-8,"{'1': '{[Zn(Mnt–Mnt)(en)]·H2O}n', '2': '[Zn(Mnt–Mnt)(H2O)]'}",{}
10.1007/s00706-019-2366-4,"['POCKOK', 'POCKUQ', 'POCKUQ01', 'POCLAX']",4,2019,https://link.springer.com/article/10.1007/s00706-019-2366-4,"{'1a': '[Co(μ-dppeO2)Br2]n', '2': '[Co(μ-dppeO2)I2]n', '1b': '[Co(μ-dppeO)Br2]n', '1c': '{[Co(μ-dppeO)Br2][Co(μ-dppeO2)Br2]}n'}","{'dppeO2': ['1,2-bis(diphenylphosphino)ethane']}"
10.1007/s00706-020-02566-w,['PEQHOK01'],1,2020,https://link.springer.com/article/10.1007/s00706-020-02566-w,{'1': '[Co2(atrz)2(bdc)]·(DMF)(H2O)2'},{}
10.1007/s00706-020-02606-5,['PUQZIN'],1,2020,https://link.springer.com/article/10.1007/s00706-020-02606-5,{},"{'p-bdc': ['1,4-benzenedicarboxylic'], 'dfdp': ['4,4′-(2,5-difluoro-1,4-phenylene)dipyridine']}"
10.1007/s00710-012-0237-3,['YOJFUA'],1,2012,https://link.springer.com/article/10.1007/s00710-012-0237-3,"{'2': '[Ag(nia)2(NO3)]·H2O', '3': '{K[Ag(nia)2](NO3)2}n'}",{}
10.1007/s00775-007-0285-z,"['VIQYEA', 'VIQYIE', 'VIQZAX']",3,2007,https://link.springer.com/article/10.1007/s00775-007-0285-z,{},{}
10.1007/s00775-011-0864-x,['QAKJOE'],1,2011,https://link.springer.com/article/10.1007/s00775-011-0864-x,{},{}
