doi,refcodes,count,year,urls,url,flags,name_dicts,compound_dicts
10.1016/j.poly.2018.08.041,"['KIKLUO', 'KIKMAV', 'KIKNAW']",3,2018,https://api.elsevier.com/content/article/pii/S0277538718305072,https://www.sciencedirect.com/science/article/pii/S0277538718305072,1,"{'1': '{[Yb2(L1)3(DMF)2](H2O)}n', '2': '[Yb(L2)0.5(NO3)(DMF)2]n', '3': '[Yb(L3)0.5(L3)0.5(NO3)(DMF)(H2O)]n'}",{}
10.1016/j.jssc.2004.01.017,"['IYEXEP', 'IYEXIT']",2,2004,https://api.elsevier.com/content/article/pii/S0022459604000519,https://www.sciencedirect.com/science/article/pii/S0022459604000519,1,{},{}
10.1016/j.jorganchem.2007.03.006,['CIFROZ'],1,2007,https://api.elsevier.com/content/article/pii/S0022328X07001969,https://www.sciencedirect.com/science/article/pii/S0022328X07001969,1,"{'3': 'K2[(P(BH3)(Ph)CH2)2]', '2': '(HP(BH3)(Ph)CH2)2', '4': '(CpFe(CO)2)2-μ-(P(BH3)(Ph)CH2)2', '1': '(HP(Ph)CH2)2'}",{}
10.1016/j.jfluchem.2013.02.016,['VEWHIQ'],1,2013,https://api.elsevier.com/content/article/pii/S0022113913000845,https://www.sciencedirect.com/science/article/pii/S0022113913000845,1,{'(I)': '[Zn3F2]·(Am2TAZ)4'},{}
10.1016/j.jssc.2019.121052,"['QUKQOD01', 'WOSHUK', 'WOSJAS']",3,2020,https://api.elsevier.com/content/article/pii/S0022459619305572,https://www.sciencedirect.com/science/article/pii/S0022459619305572,1,{},{}
10.1016/j.inoche.2011.02.018,"['UYOFAQ', 'UYOFEU']",2,2011,https://api.elsevier.com/content/article/pii/S1387700311000931,https://www.sciencedirect.com/science/article/pii/S1387700311000931,1,{},{}
10.1016/j.molstruc.2019.127243,['NOWCOU'],1,2020,https://api.elsevier.com/content/article/pii/S0022286019313523,https://www.sciencedirect.com/science/article/pii/S0022286019313523,1,"{'(1)': '{[Cu(Hpydco)2]·2H2O}n', '1': '{[Cu(Hpydco)2]·2H2O}n'}",{}
10.1016/j.ica.2021.120248,['IMADOS'],1,2021,https://api.elsevier.com/content/article/pii/S0020169321000049,https://www.sciencedirect.com/science/article/pii/S0020169321000049,1,{'1': '[Zn2(MAA)4(bipy)]n'},{}
10.1016/j.inoche.2007.04.017,['MIJHOD'],1,2007,https://api.elsevier.com/content/article/pii/S1387700307001372,https://www.sciencedirect.com/science/article/pii/S1387700307001372,1,{'1': '[Mg1.5(μ5-btec)(H2O)2]·[H2N(CH3)2]·H2O'},{'1': ['[Mg1.5(μ5-btec)(H2O)2]·[H2N(CH3)2]·H2O']}
10.1016/j.poly.2008.05.025,['NOGYIS'],1,2008,https://api.elsevier.com/content/article/pii/S0277538708002787,https://www.sciencedirect.com/science/article/pii/S0277538708002787,1,"{'1b': '[(L1)2Ag2](ClO4)2', '2a': '[(L2)2Ag4(NO3)(CH3CN)2](NO3)3', '3': '{[(L2)2Ag3](ClO4)3}n', '3·': 'C44H34Ag3Cl3N12O13', '2b': '[(L2)2Ag4(CF3COO)3](CF3COO)'}",{}
10.1016/j.molstruc.2014.07.029,"['BOKZIM', 'BOKZOS']",2,2014,https://api.elsevier.com/content/article/pii/S0022286014007509,https://www.sciencedirect.com/science/article/pii/S0022286014007509,1,"{'1': '[Zn(ADC)(bimh)]n', '2': '[Zn(ADA)(bimh)]n'}",{}
10.1016/j.inoche.2010.04.009,['FABGUM'],1,2010,https://api.elsevier.com/content/article/pii/S1387700310001565,https://www.sciencedirect.com/science/article/pii/S1387700310001565,1,{'1': '{[Ag(btre)](ClO4)}n'},{}
10.1016/j.inoche.2010.03.008,['DUVMAJ'],1,2010,https://api.elsevier.com/content/article/pii/S1387700310000857,https://www.sciencedirect.com/science/article/pii/S1387700310000857,1,{'1': 'Pb(C12H9N2O3)2'},{}
10.1016/j.ica.2012.07.033,"['CIHJOU', 'CIHJUA', 'CIHKAH', 'CIHKEL', 'CIHKIP']",5,2013,https://api.elsevier.com/content/article/pii/S0020169312004756,https://www.sciencedirect.com/science/article/pii/S0020169312004756,1,"{'1': '[Cd(hbmb)(tbi)]n', '2': '[Cd(hbmb)(adi)]n', '3': '[Zn(hbmb)0.5(atda)]n', '4': '{[Zn2(hbmb)(suc)1.5(OH)]·2H2O}n'}",{}
10.1016/j.inoche.2021.108840,"['TEBLOE01', 'TEBLUK01']",2,2021,https://api.elsevier.com/content/article/pii/S1387700321003956,https://www.sciencedirect.com/science/article/pii/S1387700321003956,1,"{'1': '[Gd2Cu4I3(IN)7(DMA)2]·DMA', '2': '[Tb2Cu4I3(IN)7(DMA)2]·DMA'}",{}
10.1016/j.jorganchem.2006.05.005,['JENVAA'],1,2006,https://api.elsevier.com/content/article/pii/S0022328X06003469,https://www.sciencedirect.com/science/article/pii/S0022328X06003469,1,{},{'1': ['biphenyl-2-carboxylic']}
10.1016/S0022-4596(03)00074-4,"['AKAREJ', 'MEVLII01']",2,2003,https://api.elsevier.com/content/article/pii/S0022459603000744,https://www.sciencedirect.com/science/article/pii/S0022459603000744,1,{},{}
