doi,refcodes,count,year,url,flags,name_dicts,compound_dicts
10.1038/ncomms1956,['GEBCAT'],1,2012,https://www.nature.com/articles/ncomms1956,1,{},"{'bpy-2': ['1,2-bis(4-pyridyl)ethene']}"
10.1038/s41467-017-02215-7,['LESLON'],1,2017,https://www.nature.com/articles/s41467-017-02215-7,1,{},{}
10.1038/ncomms1170,"['OJIWAG', 'OJIWEK', 'OJIWIO']",3,2011,https://www.nature.com/articles/ncomms1170,1,"{'1': '[Zn2(bdc)2(dpNDI)]n', '1a': '{[Zn2(bdc)2(dpNDI)]·4(DMF)}n'}",{}
10.1038/s42004-021-00607-x,"['GANTAU', 'UDICUH01']",2,2021,https://www.nature.com/articles/s42004-021-00607-x,1,{},{}
10.1038/s41586-019-1776-0,"['QUBQAI', 'QUBQEM', 'QUBQIQ', 'QUBQOW', 'QUBQUC', 'QUBRAJ', 'QUBREN', 'QUBRIR', 'QUBROX', 'QUBRUD', 'QUBSAK', 'QUBSEO', 'QUBSIS', 'QUBSOY', 'QUBSUE', 'QUBTAL', 'QUBTEP']",17,2019,https://www.nature.com/articles/s41586-019-1776-0,1,{'1': 'Zr6O4(OH)4(bpydc)6'},"{'a': ['NiBr2-loaded'], 'b': ['NiCl2-loaded'], 'bpydc2−': ['2,2′-bipyridine-5,5′-dicarboxylate'], 'DME': ['1,2-dimethoxyethane']}"
10.1038/s41598-017-15780-0,"['KENSEE', 'KENSEE01', 'KENSEE02', 'KENSEE03', 'KENSEE04', 'KENSEE05', 'KENTEF', 'KENTEF01', 'KENTEF02', 'KENTEF03', 'KENTEF04', 'KENTEF05', 'KENVIL', 'KENVIL01', 'KENVIL02', 'KENVOR', 'KENVOR01', 'KENVOR02', 'KENXUZ', 'KENYAG', 'KENYEK', 'KENYIO', 'KEPFIX', 'KEPFIX01', 'KEPFIX02', 'KEPFIX03', 'KEPFIX04', 'KEPFIX05', 'KEPMUQ', 'KEPMUQ01', 'KEPMUQ02', 'KEPMUQ03', 'KEPMUQ04', 'KEPMUQ05', 'KEPMUQ06', 'KEPMUQ07', 'KEPMUQ08', 'KEPNAX', 'KEPNAX01', 'KEPNAX02', 'KEPNAX03', 'KEPNAX04', 'KEPNAX05', 'KEPNAX06', 'KEPNAX07', 'KEPNAX08']",46,2017,https://www.nature.com/articles/s41598-017-15780-0,1,{},{'L1': ['tris(4-(2-pyridin-2-ylhydrazono)phenyl)amine']}
10.1038/ncomms9348,"['KUXREC', 'KUXROM', 'KUXRUS', 'KUXSAZ', 'KUXSIH', 'KUXSIH01', 'KUXSIH02', 'KUXSIH03']",8,2015,https://www.nature.com/articles/ncomms9348,1,{},"{'acs': ['6-connected'], 'H2bdc': ['1,4-benzenedicarboxylic']}"
10.1038/s41586-021-03627-8,"['EZICOI', 'EZICUO', 'EZIDAV', 'UYIHUI', 'UYIJAQ']",5,2021,https://www.nature.com/articles/s41586-021-03627-8,1,"{'a': 'C3H6/He', 'b': 'C3H8/He', 'c': 'C3H6/C3H8'}",{}
10.1038/s41467-020-16897-z,"['ERAJAK01', 'ERAJAK02', 'ERAJEO01', 'SUPKUM', 'SUPLEX', 'SUPLUN', 'SUPMAU']",7,2020,https://www.nature.com/articles/s41467-020-16897-z,1,{},"{'dobpdc)': ['4,4′-dioxidobiphenyl-3,3′-dicarboxylic']}"
10.1038/s41467-018-03878-6,"['NIFFIU', 'NIFNOI', 'NIFNUO', 'NIFPAW', 'NIFPEA', 'NIFPIE', 'NIFPOK', 'NIFPUQ', 'NIFQAX', 'NIFQEB', 'NIFQIF', 'NIFQOL', 'NIFQUR', 'NIFRAY', 'NIFREC', 'NIFRIG', 'NIFROM', 'NIFRUS', 'NIFSAZ', 'NIFSED', 'NIFSIH', 'NIFSON', 'NIFSUT', 'NIFTAA']",24,2018,https://www.nature.com/articles/s41467-018-03878-6,1,{},{}
