doi,refcodes,year,count,url,core,name_dicts,compound_dicts
10.1039/C4DT02821J,"['FORGOK', 'FOTWUI']",2015,2,https://pubs.rsc.org/en/content/articlehtml/2015/DT/C4DT02821J?page=search,DT,"{'1': '[CuI4(bpz)4(pz)2(H6PW11CuIIO39)2]·10H2O', '2': '[CuII2(bpz)2(H2O)2(H3PCu0.5Mo11.5O40)]·3H2O', '3': '[Ag3(bpz)2(pz)(H4SiW12O40)]·4H2O', '4': 'C28H57Ag5N8O86P2Mo24'}",{}
10.1039/c0dt00031k,"['KAGYIC', 'KAGYOI', 'KAGYUO', 'KAGZAV', 'KAGZEZ', 'KAGZID', 'KAGZOJ', 'KAGZUP', 'KAHBAY', 'KAHBEC']",2010,10,https://pubs.rsc.org/en/content/articlehtml/2010/dt/c0dt00031k?page=search,dt,"{'1': '[La(apca)3]n', '2': '{[Pr(apca)(ox)(H2O)2]·H2O}n', '3': '{[Nd(apca)(ox)(H2O)2]·H2O}n', '4': '{[Ln(apca)(Sm)(H2O)2]·H2O}n', '5': '{[Ln(apca)(Eu)(H2O)2]·H2O}n', '6': '{[Ln(apca)(Gd)(H2O)2]·H2O}n', '7': '{[Ln(apca)(Tb)(H2O)2]·H2O}n', '8': '{[Ln(apca)(Dy)(H2O)2]·H2O}n', '9': '{[Ln(apca)(Er)(H2O)2]·H2O}n', '10': '{[Ln(apca)(Y)(H2O)2]·H2O}n'}",{}
10.1039/c2jm30867c,['FEDBEX'],2012,1,https://pubs.rsc.org/en/content/articlehtml/2012/jm/c2jm30867c?page=search,jm,{},{}
10.1039/C7NJ01562C,['TAXVUM'],2017,1,https://pubs.rsc.org/en/content/articlehtml/2017/NJ/C7NJ01562C?page=search,NJ,"{'1': '[Mn(L1′)(N3)]n', '2': '[Mn(L1′)(NCS)]2', '3': '[Mn(L2′)(CH3OH)2]·NO3', '4': '[Mn(L3′)(CH3OH)2]·NO3', 'L1': '1,3-di(1H-naphtho[1,2-e][1,3]oxazin-2(3H)-yl)propane', 'L2': '1,2-di(1H-naphtho[1,2-e][1,3]oxazin-2(3H)-yl)cyclohexane', 'L3': '1,2-bis(6-fluoro-2H-benzo[e][1,3]oxazin-3(4H)-yl)cyclohexane'}","{'L1': ['1,3-di(1H-naphtho[1,2-e][1,3]oxazin-2(3H)-yl)propane'], 'L2': ['1,2-di(1H-naphtho[1,2-e][1,3]oxazin-2(3H)-yl)cyclohexane'], 'L3': ['1,2-bis(6-fluoro-2H-benzo[e][1,3]oxazin-3(4H)-yl)cyclohexane']}"
10.1039/C5DT00281H,"['ZUDWUS', 'ZUDXAZ']",2015,2,https://pubs.rsc.org/en/content/articlehtml/2015/DT/C5DT00281H?page=search,DT,"{'1': '[Hdma]·(Fe4IIFeIIIF8(H2O)2(amtetraz)4)', '2': '[Hdma]1.5·(Fe4.5IIFe0.5IIIF7(H2O)(HCOO)(amtetraz)4)'}",{}
10.1039/C4CE02023E,"['GOTNAG', 'GOTNEK']",2015,2,https://pubs.rsc.org/en/content/articlehtml/2015/CE/C4CE02023E?page=search,CE,"{'1': '{[Dy2(PA)3(H2O)3(DMF)]·(DMF)2·(H2O)}n', '2': '{[Dy2(PA)3(H2O)2(DMF)2]·(DMF)3·(H2O)}n'}",{}
10.1039/D0CC05175F,['RUXPAE'],2020,1,https://pubs.rsc.org/en/content/articlehtml/2020/CC/D0CC05175F?page=search,CC,{'FCS-3': '{[Zn3(OH)(bmipia)(H2O)3]4·[Zn(H2O)6.5]2}n'},{}
10.1039/C4RA01336K,"['POKGON', 'POKGUT']",2014,2,https://pubs.rsc.org/en/content/articlehtml/2014/RA/C4RA01336K?page=search,RA,{},{}
10.1039/C7DT03886K,"['LENCAL', 'LENCEP']",2018,2,https://pubs.rsc.org/en/content/articlehtml/2018/DT/C7DT03886K?page=search,DT,"{'1': '[Mn(N3)(p-XBP4)(H2O)2]·(N3)', 'dehydrated-1': '[Mn(N3)(p-XBP4)]·(N3)', '2': '[Ni(N3)(p-XBP4)(H2O)2]·(N3)', 'dehydrated-2': '[Ni(N3)(p-XBP4)]·(N3)'}",{}
10.1039/C4DT00297K,['MIVNUC'],2014,1,https://pubs.rsc.org/en/content/articlehtml/2014/DT/C4DT00297K?page=search,DT,"{'2': 'trans-2,2-Mo2(SNS5)4', '3': 'trans-1,1-Mo2(OAc)2(SNS6)2', '4a': 'cis-2,2-Mo2(SNO5)4', '4b': 'cis-2,2-Mo2(SNO6)4', '2·CH2': 'C17H18Cl2Mo2N4S8', '1b': 'trans-2,2-Mo2(SNO6)4', '1a': 'trans-2,2-Mo2(SNO5)4'}","{'2': ['trans-2,2-Mo2(SNS5)4'], '3': ['trans-1,1-Mo2(OAc)2(SNS6)2'], '4a': ['cis-2,2-Mo2(SNO5)4'], '4b': ['cis-2,2-Mo2(SNO6)4'], '1b': ['trans-2,2-Mo2(SNO6)4'], '1a': ['trans-2,2-Mo2(SNO5)4']}"
